,title,artist,album,id,year,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,zcr,bandwidth,centroid,rolloff,acousticness,danceability,energy,loudness,speechiness,tempo,valence
10,King of Rock,Run-D.M.C.,King of Rock,7112WRQXlBGe4Os43yw8gV,1985,./data/King of Rock.mp3,0.44831019219231144,-1.3514517671183437,-1.8688823634079375,0.7708382756694488,0.7154922069241797,-0.28534065783797263,-0.49710065820717964,1.283228733827073,-0.452343837391006,0.25609210882054556,-0.5038313323020503,-0.10172164699879428,-0.4205969086882524,0.4940952903054914,0.8633955952206049,1.057477308577077,1.900062262286835,1.5067055521729713,0.7046216449789956,0.00907207940026397,-0.5308375602488872,-0.4289735488986327,-1.1144983292047381,-0.6271318609538173,1.856215141898014,0.015556207756855834,1.174501516833624,0.820762084217363,0.00907,0.825,0.857,-3.389,0.0448,98.204,0.791
11,Rock The Bells,LL Cool J,Radio,4F4neui0edP1ozygvFiCi7,1985,./data/Rock the Bells.mp3,-0.07426264066446851,-2.7243210657129318,-0.6537015427985476,2.342394762381097,0.778071340965314,2.0320781892311848,1.5768346999883216,2.2854832340249613,-0.09808846105642433,1.790586139137779,1.0928636890993932,0.24556588479212463,1.0337629881994899,0.909938182320465,0.43671241643770575,0.41868510424812727,0.6147581718486034,1.003880216498399,1.3228412280856194,2.049277979520303,3.0952130152608843,3.1056902201634085,2.753724152787616,1.8367235736022183,1.4264394390918869,0.4739355773368214,1.9479159524249827,1.3253217961963406,0.00596,0.896,0.517,-12.813,0.143,98.472,0.285
12,It's Tricky,Run–D.M.C.,Raising Hell,6jBCehpNMkwFVF3dz4nLIW,1986,./data/It's Tricky.mp3,-1.030062026345516,-2.348302296217129,1.1770747997800697,0.25253371952089737,1.0990497202526548,0.11189449836983119,-0.8581853502669615,0.8613431743543226,1.0694748293595464,0.029471193676119705,0.06286495392215474,-0.3329085786961882,1.470061020214633,1.3605007196124388,1.0847723372327598,1.5583722234625235,1.6154466572255652,1.3182749686676185,0.4280295868352325,0.2286684731836975,0.029508657476428186,-0.10455221508595787,-0.01192026070909011,0.9748199961308749,2.6990061786735917,2.167042495395073,2.7297235411001113,2.5143918247662156,0.000844,0.956,0.72,-13.476,0.137,127.872,0.961
13,No Sleep Till Brooklyn,Beastie Boys,Licensed To Ill,5qxChyzKLEyoPJ5qGrdurN,1986,./data/No Sleep Till Brooklyn.mp3,1.0082121974438083,-2.4632861341932304,-1.2713797498010349,2.1407643031068107,-1.7395726668988412,0.0065088252904440215,-1.4353236178739797,-1.4212574322500424,0.7812494637686487,1.3147655781601726,0.013880935411847014,-1.0248384993595383,0.9851893632573356,0.7007238375337058,-0.48975633824947057,0.5800747686600448,0.868850626610812,-0.5782602181681431,-0.005137600751161155,1.4078083497600293,1.7905780270952698,1.4063351478229082,1.5638471980637698,0.9278476074392125,3.6900289526497696,-0.05397167113812875,2.3400531771893966,1.2085592986609919,0.122,0.712,0.691,-8.157,0.128,97.022,0.742
14,Boyz-N-The-Hood,Eazy-E,N.W.A. And The Posse,5RGXoZt1qxmAErdhbyKJKq,1987,./data/Boyz-N-The-Hood.mp3,0.01138767581251903,-0.7472424783288283,0.5793349749089914,0.2574850556864766,0.3357090653755495,0.9013564089827117,0.8468789045193627,-0.04716517690485955,0.8071795801460695,0.5235653622445591,1.1988850638813247,1.2179760420747916,0.3065681911736966,-0.8809134387277856,-1.068603360668496,-1.1807103512929085,-1.1077048336964843,-0.5231578929972118,-0.18678406758472124,1.543565265596193,1.605271843633052,1.6332553159419583,1.5729302010516568,1.0690026097918155,-0.21960373831890326,1.1589291344623591,0.5858543934499214,0.8881685409939885,0.0417,0.785,0.479,-10.247,0.362,87.691,0.727
15,Paid In Full,Eric B. & Rakim,Paid In Full,20s3FayrStM8GY0m4dRFsw,1987,./data/Paid In Full.mp3,0.07177091816489219,-1.1733484885368262,0.7710468006044282,1.3565668806987135,-0.5393696639394453,2.6837586281889982,-0.4713373407745153,1.7102981782239437,1.0686485159103205,0.6771180291598603,1.2528059444933366,0.47777850058153093,0.46516970419722964,0.1421699738141188,0.026118210772604726,0.4184035606027386,0.8723406182546266,1.4024540778863352,1.4959563471332493,2.017871406327656,2.2496742766968554,1.7204660023359515,1.7520613368344748,1.3208699923078537,0.5422525050572758,0.5888292145633208,0.912986486212458,0.80513720228897,0.00228,0.878,0.851,-8.971,0.232,99.014,0.404
16,Straight Outta Compton,N.W.A.,Straight Outta Compton,6KIKRz9eSTXdNsGUnomdtW,1988,./data/Straight Outta Compton.mp3,0.24080538653646405,-0.9685345399916301,-0.4478552523614831,1.8644263418095384,-0.5753022344339089,0.22583110108934687,-0.5736442629001125,0.7041797943193487,-0.669378727654878,0.01664270195980453,-0.33785181630547995,0.022745818244600265,-0.9924068630956929,0.26454595717296714,0.37434026200980847,1.7640468648885872,0.8234370901454945,0.32846783764615994,0.4409279468525961,1.282812572043486,0.6662370712981319,0.3522257109708752,0.7882838488109383,-0.8254225328663495,0.7434264372858568,0.413065214714768,0.8398741590641006,0.7945342244365662,0.0461,0.834,0.878,-9.484,0.15,102.848,0.418
17,Fuck Tha Police,N.W.A.,Straight Outta Compton,5n8Aro6j1bEGIy7Tpo7FV7,1988,./data/Fuck Tha Police.mp3,0.17894531841241434,-2.0680325994560844,1.1048502672621587,1.309909501563237,-1.1010468425812185,0.9673223739825103,-1.2548876114969536,0.926786652822493,-0.13328726535968735,1.086453617893516,0.6935281779786409,0.2940742469252757,0.8285493911568874,0.9603414008321368,0.43452634202503243,-0.022334446796208732,-0.3839365661849823,-0.7244766516977945,-0.372331593740488,0.08095661191845946,0.5551373215234588,1.1076781919547518,1.350603379852,1.528146482970308,1.7402886304523835,1.4866898532960666,2.2405570759836317,1.898396622009121,0.0193,0.859,0.75,-8.325,0.303,98.691,0.857
18,Bust A Move,Young MC,Stone Cold Rhymin',3IeCYkdKI55mNMl2o4vX0k,1989,./data/Bust a Move.mp3,-0.818102909965426,-0.8879451590401687,-0.08693315267113418,0.9204128198397666,-0.9094582787661772,0.8636093489749811,0.49602318410910673,1.6311441159702702,0.5064695858262668,-0.3673908730126409,-0.8698819660476128,0.05834157460340009,0.40773679343941865,0.925848434575507,0.3793956350127193,-0.10293532482701583,0.36389189544308753,0.008808380646943934,-0.08736396938773947,0.05392323860303587,0.2378825607560863,0.6882528080576862,0.7055194949489033,0.8612517853066879,0.8040241335628929,0.5388894705116276,0.8802303792382948,0.8215813593382167,0.0512,0.946,0.772,-7.537,0.121,116.972,0.743
19,Shake Your Rump,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition),2qq0RYYIuQxXcOxQKN0drC,1989,./data/Shake Your Rump.mp3,0.15550561942979307,-0.12849653264276917,-0.5578160738525172,0.8041784286733987,-0.724580940078613,1.0495754753068403,0.056218725768840044,0.4652023224239999,0.26114044873711173,0.8166549763962742,0.41631315377692635,0.30687131033735365,1.0446740356697868,1.016820882099181,0.7849815196630884,0.9857665819204942,1.0306096528505881,1.4504224376415635,1.2795991089914045,0.29965059354705464,-0.27359263105792286,-0.34076532187158326,0.21704630661335653,0.9207743003961666,0.5481037475347982,-0.264992471884168,0.05851630687215019,-0.018614977306686903,0.0159,0.888,0.699,-10.425,0.164,103.066,0.697
